test_cost,test_acc,cumulative_time_ns
1,0.24160000681877136,127451.6796875
2,0.4004000127315521,246883.34375
3,0.567799985408783,372516.4375
4,0.6678000092506409,515297.84375
5,0.7462000250816345,641257.625
6,0.8037999868392944,770839.0
7,0.84579998254776,890413.9375
8,0.8644000291824341,1016485.25
9,0.8741999864578247,1153318.0
10,0.8762000203132629,1279028.875
11,0.8754000067710876,1395572.0
12,0.8758000135421753,1518549.0
13,0.8762000203132629,1629397.875
14,0.8758000135421753,1750209.25
15,0.8744000196456909,1872494.375
16,0.8751999735832214,2005349.0
17,0.8777999877929688,2124344.25
18,0.876800000667572,2241897.75
19,0.8769999742507935,2374534.75
20,0.8737999796867371,2498773.0
