test_cost,test_acc,cumulative_time_ns
1,0.5530357360839844,117127.125
2,0.7200000286102295,244400.765625
3,0.7408928275108337,367202.9375
4,0.7475000023841858,473637.0625
5,0.7496428489685059,578442.75
6,0.7548214197158813,700712.4375
7,0.7524999976158142,822040.625
8,0.7530357241630554,945551.625
9,0.7441071271896362,1062366.0
10,0.7441071271896362,1171863.625
11,0.7455357313156128,1298425.0
12,0.7466071248054504,1415505.5
13,0.7466071248054504,1536894.75
14,0.7419642806053162,1650502.5
